url,headline,team,score
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Jone020.html,Jones happy with Henson heroics,Wales,9-8
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Doub021.html,Double injury blow strikes Wales,Wales,11-9
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Kirw022.html,Kirwan demands Italy consistency,Italy,28-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fit-023.html,Fit-again Betsen in France squad,France,16-9
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale024.html,Wales critical of clumsy Grewcock,Wales,11-9
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale123.html,Wales silent on Grand Slam talk,Wales,24-18
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Murp026.html,Murphy: That was a bruising battle,Scotland,8-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Pari122.html,Paris promise raises Welsh hopes,Wales,33-5
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale027.html,Wales make two changes for France,Wales,38-8
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel028.html,Ireland surge past Scots,Ireland,28-8
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale029.html,Wales win in Rome,Wales,33-8
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Whit030.html,White prepared for battle,Wales,32-16
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ODr031.html,O'Driscoll saves Irish blushes,Ireland,18-12
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bark032.html,Barkley fit for match in Ireland,Ireland,30-20
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fran037.html,France v Wales (Sat),France,38-8
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk110.html,Wilkinson: Injuries toughened me,England,13-10
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Heal108.html,Healey targets England comeback,England,17-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi043.html,Robinson answers critics,England,11-9
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lion104.html,Lions blow to World Cup winners,New Zealand,45-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lion102.html,Lions blow to World Cup stars,New Zealand,45-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hari049.html,Harinordoquy suffers France axe,France,24-18
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Barb099.html,Barbarians 19-47 New Zealand,New Zealand,19-47
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl098.html,England claim Dubai Sevens glory,England,33-15
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel097.html,Ireland 21-19 Argentina,Ireland,21-19
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bort052.html,Bortolami predicts dour contest,Italy,28-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel095.html,Ireland v USA (Sat),Ireland,83-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel094.html,Ireland 17-12 South Africa,Ireland,17-12
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Dall092.html,Dallaglio his own man to the end,England,2-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Cast057.html,Castaignede fires Laporte warning,France,45-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi059.html,Robinson out of Six Nations,England,19-13
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl060.html,England coach faces rap after row,England,19-13
http://comp20008-jh.eng.unimelb.edu.au:9889/main/All088.html,All Black magic: New Zealand rugby,New Zealand,53-37
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hari061.html,Harinordoquy suffers France axe,France,24-18
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi087.html,Robinson wants dual code success,England,51-15
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl063.html,England 'to launch ref protest',England,19-13
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ANo085.html,A November to remember,England,45-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ital066.html,Italy aim to rattle England,Italy,18-10
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Aye081.html,A year to remember for Irish,Ireland,37-32
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Daws073.html,Dawson joins England injury list,England,12-9
